1#,1#,Ilość,Cena netto,Wartość netto,Wartość brutto
Filtr powietrza B28038PR Ap 190/9,IC-B8B667,1,"10,55","10,55","12,98"
Filtr powietrza B24055PR AP 104/4,IC-A8FDEF,1,"18,36","18,36","22,58"
Filtr powietrza FILTRON AP130/2,5904608031303,1,"21,75","21,75","26,75"
Filtr powietrza FILTRON AP092/5,5904608060921,1,"19,6","19,6","24,11"
Filtr powietrza B2F057PR Ap 091/4,IC-A9FFB8,1,"12,1","12,1","14,88"
Filtr powietrza B20514PR Ap107/1,IC-A94B0F,1,"7,92","7,92","9,74"
Filtr powietrza B20318PR AP108/2,IC-A94AF6,1,"9,76","9,76",12
Filtr powietrza B20327PR Ap 108/9,IC-A94AFF,1,"11,33","11,33","13,94"
Filtr powietrza FILTRON AP 129,5904608001290,1,"20,56","20,56","25,29"
Filtr powietrza B24057PR AP104/6,IC-AA005C,1,"15,73","15,73","19,35"
Filtr powietrza B24072PR,IC-B3B3B7,1,"22,07","22,07","27,15"
Filtr powietrza FILTRON AP020/2,5904608030207,1,"22,78","22,78","28,02"
Filtr powietrza B2F056PR Ap 022/1,IC-B46EC3,1,"6,51","6,51","8,01"
Filtr powietrza B2B000PR Ap 026,IC-AA042C,1,"9,57","9,57","11,77"
Filtr powietrza Filtron AP 026,5904608000262,1,"15,9","15,9","19,56"
Filtr powietrza B2F028PR,IC-AA0C5F,1,"5,69","5,69",7
Filtr powietrza FILTRON AP002,5904608000026,1,"10,33","10,33","12,71"
Filtr powietrza FILTRON AP003,5904608000033,1,"17,47","17,47","21,49"
13#,13#,0,0,0,0
Amortyzator Magnum AHF016MT,AHF016MT,2,"58,53","117,06","143,98"
Filtr powietrza FILTRON AP005,5904608000057,1,"15,1","15,1","18,57"
Filtr powietrza FILTRON AP006,5904608000064,1,"11,27","11,27","13,86"
Filtr paliwa Bosch 1 457 434 293,4047023566072,1,"27,6","27,6","33,95"
Filtr kabinowy B42001PR K1134-2x,IC-A9010E,1,"12,88","12,88","15,84"
KNECHT LAK73/S,4009026504895,1,"86,21","86,21","106,04"
Filtr kabinowy B40307PR,IC-A94B5D,1,"21,62","21,62","26,59"
14#,14#,0,0,0,0
Filtr powietrza Filtron AP 074,5904608000743,1,"15,46","15,46","19,02"
Filtr powietrza Filtron AP 091/4,5904608050915,1,"18,39","18,39","22,62"
Filtr pow. kabinowy Filtron K 1108,5904608081087,1,"45,35","45,35","55,78"
Filtr kabinowy B4D005PR-2X,IC-CFE33E,1,"15,1","15,1","18,57"
Filtr.pow. Knecht K1115,4009026507629,1,"34,42","34,42","42,34"
Filtr kabinowy B44008PR,IC-A8FE13,1,"12,89","12,89","15,85"
Filtr kabinowy B40305PR K1232,IC-A94B5B,1,"10,13","10,13","12,46"
Fltr kabinowy B40006PR K1166,IC-A94AD0,1,"12,78","12,78","15,72"
