1,KOD,ILOSC,nr z odkupu,NAZWA_TOWARU,KOD,ILOSC,IND_IC,NAZWA,CENA DO ODKUPU PLN ZA 1 SZT.
Filtr powietrza Filtron AP 134/4,5904608051349,1,,Filtr oleju Filtron OP 525/4,5904608055255,1,OP 525/4,Filtr oleju,"12,26"
Filtr powietrza Filtron AP 139/1,5904608021397,1,,Filtr powietrza B2R021PR AR349,IC-AA0F21,1,AR 349,Filtr powietrza,"12,12"
Filtr powietrza B2W011PR AP 140,IC-A9EBDB,1,,Uszczelka pokrywy zaw. EL505060,4041248424315,1,EL505060,Uszczelka pokrywy zaworów,"12,12"
Filtr powietrza B2W061PR,IC-C3E2B8,1,,Filtr oleju Filtron OP 642/3,5904608046420,1,OP 642/3,Filtr oleju,"12,06"
Filtr powietrza Filtron AP 134/2,5904608021342,1,,Filtr powietrza B22089PR AP 142/3,IC-A9016B,1,AP 142/3,Filtr powietrza,"12,04"
Filtr powietrza B2K005PR AP 138,IC-AA1EF3,1,,Filtr powietrza Filtron AP 142/3,5904608041425,1,AP 142/3,Filtr powietrza,"12,04"
Filtr powietrza B21051PR AP 134/7,IC-AA0E85,1,,Filtr paliwa Filtron PE 816/4,5904608058164,1,PE 816/4,Filtr paliwa,"11,95"
Filtr powietrza FILTRON AP 133/2,5904608031334,1,,Filtr paliwa B3G024PR,IC-A9FFB5,1,B3G024PR,Filtr paliwa,"11,85"
Filtr powietrza B2R034PR AR 131/1,IC-AEF66B,1,,Filtr powietrza B2M042PR AP 010,IC-A9D652,1,AP 010,Filtr powietrza,"11,83"
Filtr powietrza B2R018PR AP 134/1,IC-BA87CB,1,,Filtr powietrza Filtron AP 113/3,5904608041135,1,AP 113/3,Filtr powietrza,"11,8"
Filtr powietrza BluePrint ADH22269,5050063006599,1,,Filtr powietrza B2C044PR AP 090/4,IC-BA1D51,1,AP 090/4,Filtr powietrza,"11,76"
Filtr powietrza B2W047PR,IC-B9C57F,1,,Filtr kabinowy B4G020PR K1150,IC-B46EDA,1,K 1150,Filtr kabiny,"11,74"
